Age	qx
1	0.00189
2	0.00189
3	0.00189
4	0.00189
5	0.00189
6	0.00189
7	0.00189
8	0.00189
9	0.00189
10	0.00189
11	0.00189
12	0.00189
13	0.00189
14	0.00189
15	0.00189
16	0.0024
17	0.00295
18	0.0033
19	0.00335
20	0.00302
21	0.00283
22	0.00318
23	0.00337
24	0.00337
25	0.00315
26	0.00299
27	0.00292
28	0.00287
29	0.00285
30	0.00286
31	0.00289
32	0.00295
33	0.00303
34	0.00313
35	0.00324
36	0.00337
37	0.00351
38	0.00367
39	0.00383
40	0.004
41	0.00417
42	0.00434
43	0.00451
44	0.00468
45	0.00484
46	0.00503
47	0.0053
48	0.00567
49	0.00613
50	0.00667
51	0.00728
52	0.00796
53	0.0087
54	0.00949
55	0.01038
56	0.01139
57	0.0125
58	0.01371
59	0.01504
60	0.01649
61	0.01809
62	0.01983
63	0.02174
64	0.02384
65	0.02612
66	0.02863
67	0.03136
68	0.03436
69	0.03763
70	0.04121
71	0.04511
72	0.04937
73	0.05403
74	0.0591
75	0.06463
76	0.07066
77	0.07723
78	0.08437
79	0.09214
80	0.10059
81	0.14982
82	0.16215
83	0.17538
84	0.18957
85	0.20476
86	0.22099
87	0.2383
88	0.25674
89	0.27632
90	0.29708
91	0.31903
92	0.34218
93	0.36651
94	0.39201
95	0.41864
96	0.44634
97	0.47503
98	0.50461
99	0.53496
100	0.56592
101	0.59733
102	0.59733
103	0.59733
104	0.59733
105	0.59733
106	0.59733
107	0.59733
108	0.59733
109	0.59733
110	0.59733
111	0.59733
112	0.59733
113	0.59733
114	0.59733
115	0.59733
116	0.59733
117	0.59733
